NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05466695,Comparing The Effect of Tadalafil 5 mg/Day to Sildenafil 25 mg/Day on Neutrophil-Lymphocyte and Platelet-Lymphocyte Ratios in Erectile Dysfunction Patients; and Comparison of Clinical Response,https://clinicaltrials.gov/study/NCT05466695,,UNKNOWN,NO,Erectile Dysfunction and Neutrophil Lymphocyte Ratio,DRUG: Tadalafil 5mg/sildenafil 25 mg,"Effect of tadalafil on erectile dysfunction and neutrophil-lymphocyte and platelet-lymphocyte ratios ., Effect of daily tadalfil 5 mg on erectile dysfunction and neutrophil-lymphocyte and platelet-lymphocyte ratios, 2 months|Effect of sildenafil on erectile dysfunction and neutrophil-lymphocyte and platelet-lymphocyte ratios ., Effect of sildenafil 25 mg daily on erectile dysfunction and neutrophil-lymphocyte and platelet-lymphocyte ratios ., 2 months",,,Assiut University,,MALE,ADULT,EARLY_PHASE1,74,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,oral PDI5 and Blood components,2022-08-01,2023-07-01,2023-08-01,2022-07-20,,2022-07-20,"Assiut University, Assiut, Egypt",
NCT06126874,Additional Effects of Aerobic and Resistance Exercises to Pelvic Floor Muscle Training After Radical Prostatectomy,https://clinicaltrials.gov/study/NCT06126874,,NOT_YET_RECRUITING,NO,Incontinence|Erectile Dysfunction Following Radical Prostatectomy,OTHER: Patient Education|OTHER: Pelvic Floor Muscle Training|OTHER: Aerobic Exercise Training|OTHER: Resistance Exercise Training,"International Consultation on Incontinence Questionnaire- Short Form (ICIQ-SF) Score, The ICIQ-UI Short Form is a questionnaire for evaluating the frequency, severity and impact of urinary incontinence on quality of life (QoL) in men and women in research and clinical practice., Change in severity of incontinence from baseline to the end of the 12th week.|International Index of Erectil Function-15 ( IIEF-15) Score, The IIEF-15 is a multidimensional scale that can be used to evaluate ED. It has five subdomains: Erectile Function ( items 1,2,3,4,5,15), Orgasmic Function ( items 9,10), Sexual Desire (items 11,12), Intercourse Satisfaction ( items 6,7,8), Overall Satisfaction (items 13,14)., Change in severity of erectile function from baseline to the end of the 12th week.","1-hour Pad Test Score, 1-Hour Pad test is a non-invasive test that is widely used in the evaluation of objective UI severity., Change in severity of incontinence from baseline to the end of the 12th week.|Penile Length, Penile length will be measured by the therapist with the help of a ruler. This is a non-invasive objective measurement method used in the literature to measure the penile length of individuals after prostatectomy., Change in penile length from baseline to the end of the 12th week.|Peripheral Muscle Strength, Peripheral muscle strength will be evaluated with a hand-held dynamometer. The handheld dynamometer is a non-invasive and routinely used objective assessment tool preferred in the clinic for strength measurement. Studies have shown that handheld digital dynamometers are useful tools to objectively assess muscle strength before and after intervention and to demonstrate the effectiveness of treatment. In our study, within the scope of peripheral muscle strength measurement, static strength measurements will be performed in shoulder flexion-extension, shoulder abduction-adduction, elbow flexion-extension, hip flexion-extension, knee flexion-extension, and ankle dorsal and plantar flexion., Change in strength of peripheral muscles from baseline to the end of the 12th week.|Functional Exercise Capacity, Functional exercise capacity of individuals will be evaluated with the 6 Minute Walking Test (6MWT). The 6MWT is a simple and non-invasive test that evaluates the submaximal functional exercise capacity of individuals in 6 minutes on a hard and flat surface, does not require special equipment or advanced training, and has been shown to be reliable and valid in various patient populations in the literature., Change in distance from baseline to the end of the 12th week.|International Consultation On Incontinence- Male Lower Urinary Tract Symptoms (ICIQ-MLUTS) Score, The ICIQ-MLUTS is a questionnaire for evaluating male lower urinary tract symptoms and impact on quality of life (QoL) in research and clinical practice. It has four subdomains: Voiding Score (2-6 items), Incontinence Score (7-12 items), Frequency of urination during the day (13th item), Frequency of urination during the night (14th item), Change in lower urinary system symptoms scores from baseline to the end of the 12th week.|Depression Anxiety and Stress Scale-21 (DASS-21) Score, The DASS-21 is a self-report scale designed to measure the negative emotional states of depression, anxiety and stress. It contains 21 questions totally and 7 questions for each symptoms. Depression: dysphoria, hopelessness, devaluation of life, self-deprecation, lack of interest / involvement, anhedonia and inertia. (Items 3, 5, 10, 13, 16, 17, 21). Anxiety: autonomic arousal, skeletal muscle effects, situational anxiety, and subjective experience of anxious affect. (Items 2, 4, 7, 9, 15, 19, 20). Stress: levels of chronic nonspecific arousal, difficulty relaxing, nervous arousal, and being easily upset / agitated, irritable / over-reactive and impatient (Items 1, 6, 8, 11, 12, 14, 18)., Change in level of depression, anxiety and stress level from baseline to the end of the 12th week.|World Health Organization Quality of Life Brief Version (WHOQOL-BREF) Score, The World Health Organization Quality of Life Scale-Short Form (WHOQOL-BREF) will be used to question the general quality of life of individuals.The WHOQOL-BREF addresses four quality of life domains: physical health, psychological health, social relationships and environment., Change in quality of life from baseline to the end of the 12th week.",,Hacettepe University,,MALE,"ADULT, OLDER_ADULT",NA,38,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,KA-23054,2024-03-15,2026-01-15,2026-01-15,2023-11-13,,2024-03-04,"Mustafa Enis Dilekmen, Ankara, 06100, Turkey",
NCT02239484,Evaluating a Pharmacokinetic Drug Interaction Between Tadalafil and Tamsulosin,https://clinicaltrials.gov/study/NCT02239484,,COMPLETED,NO,Erectile Dysfunction|Benign Prostatic Hyperplasia,DRUG: Tadalafil|DRUG: Tamsulosin|DRUG: Tadalafil + Tamsulosin,"Tadalafil,Tamsulosin Cmax,ss, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin AUCτ, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)","Tadalafil,Tamsulosin tmax,ss, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin t1/2, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin CL/Fss, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin Vd/Fss, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin Cav, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)|Tadalafil,Tamsulosin Cmin,ss, 6day 0h(predose), 0.5, 1, 2, 3, 4, 6, 7, 8, 10, 12, 24, 48, 72 hours (Total 14)",,Hanmi Pharmaceutical Company Limited,,MALE,ADULT,PHASE1,30,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,HM-TASU-101,2014-03,2014-09,2014-09,2014-09-12,,2014-09-12,"Samgsung Seoul Hospital, Seoul, Korea, Republic of",
NCT00667966,Assess Efficacy in Subjects With Traumatic Spinal Cord Injury,https://clinicaltrials.gov/study/NCT00667966,LEMDE,COMPLETED,NO,Erectile Dysfunction|Spinal Cord Injury,"DRUG: Vardenafil (Levitra, BAY 38-9456), 10 mg|DRUG: Placebo|DRUG: Vardenafil (Levitra, BAY 38-9456), 20 mg","Characteristics of responders and non responder with respect to the electrophysiological (skin sympathetic response, bulbocavernosus reflex and somatosensory and pudendal evoked potential), urodynamical and clinical (ASIA group) tests, Responders are defined as subjects with rigidity ≥ 60% in the base measured with RigiScan during at least 5 minutes after withdrawing the vibrator and/or finishing manual stimulation., 4 treatment days","Duration of an erection ≥ 60% in the base induced by an erectogenic stimulus (vibrator and/or manual) in each subject after administering a 10 mg dose of vardenafil or placebo, 4 treatment days|Duration of an erection ≥ 60% in the base induced by an erectogenic stimulus (vibrator and/or manual) in each subject after administering a 20 mg dose of vardenafil or placebo, 4 treatment days|Number of participants with adverse events, Approximately 4 weeks",,Bayer,,MALE,ADULT,PHASE4,45,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",11861|2004-005282-37,2005-07,,2007-02,2008-04-28,,2015-05-06,"Badalona, Barcelona, 08916, Spain|Toledo, 45071, Spain",
NCT06532149,"ERectile Dysfunctions, gOnadotoxicity and Sexual Health Assessment in Men With Lung Cancer",https://clinicaltrials.gov/study/NCT06532149,EROS,RECRUITING,NO,"NSCLC Stage IV|Sex Disorder|Hypogonadism, Male|Erectile Dysfunction",DRUG: Alectinib|DRUG: Brigatinib|DRUG: Lorlatinib 100 mg|DRUG: Osimertinib|DRUG: Sotorasib|DRUG: Dabrafenib|DRUG: Trametinib|DRUG: Selpercatinib|DRUG: Pembrolizumab|DRUG: Cemiplimab|DRUG: Nivolumab|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Paclitaxel,"Incidence of treatment-related sexual dysfuction in male patients with ANSCLC, Percentage of patients who reported any sexual health disorders after treatment start, From treatment start up to 1 year","Incidence of treatment-related hypogonadism in male patients with ANSCLC, Percentage of patients who reported reduction of testosterone levels after treatment start, From treatment start up to 1 year|Incidence of treatment-related erectile dysfuction in male patients with ANSCLC, Percentage of patients who erectile dysfuction after treatment start, From treatment start up to 1 year",,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,MALE,"ADULT, OLDER_ADULT",,80,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,6578,2024-08-05,2026-09-05,2026-09-30,2024-08-01,,2024-08-09,"Fondazione Policlinico Gemelli IRCCS, Rome, 00168, Italy",
NCT03641846,Low-intensity Shockwave Therapy (LiST) for the Treatment of Mild and Mild-to-moderate Vasculogenic Erectile Dysfunction,https://clinicaltrials.gov/study/NCT03641846,,COMPLETED,NO,Erectile Dysfunction|Low Intensity Shockwave Therapy,OTHER: DornierAries2 LiST device + 5 mg Tadalafil|OTHER: DornierAries2 LiST device + Placebo Pill,"Change in the Erectile Function domain score of the International Index of Erectile Function (IIEF-EF), EF domain of the IIEF questionnaire will be completed.IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction), baseline and 12-week follow-up visit","Change in the Erectile Function domain score of the International Index of Erectile Function (IIEF-EF), EF domain of the IIEF questionnaire will be completed.IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction), baseline and 4-week follow-up visit|Change in the Erectile Function domain score of the International Index of Erectile Function (IIEF-EF), EF domain of the IIEF questionnaire will be completed.IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction), baseline and 24-week follow-up visit|Change in Sexual Encounter Profile Question 3 (SEP3) score, The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported.The Sexual Encounter Profile (SEP) is a log diary completed after each sexual attempt, providing information as to whether the erection was hard enough to penetrate (SEP 2), or whether it was maintained for completion (SEP 3) or a satisfactory sexual experience (SEP 4). SEP 3 exact question is ""Did your erection last long enough for you to have successful intercourse?"", baseline and 4-week follow-up visit|Change in Sexual Encounter Profile Question 3 (SEP3) score, The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported.The Sexual Encounter Profile (SEP) is a log diary completed after each sexual attempt, providing information as to whether the erection was hard enough to penetrate (SEP 2), or whether it was maintained for completion (SEP 3) or a satisfactory sexual experience (SEP 4). SEP 3 exact question is ""Did your erection last long enough for you to have successful intercourse?"", baseline and 12-week follow-up visit|Change in Sexual Encounter Profile Question 3 (SEP3) score, The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported.The Sexual Encounter Profile (SEP) is a log diary completed after each sexual attempt, providing information as to whether the erection was hard enough to penetrate (SEP 2), or whether it was maintained for completion (SEP 3) or a satisfactory sexual experience (SEP 4). SEP 3 exact question is ""Did your erection last long enough for you to have successful intercourse?"", baseline and 24-week follow-up visit|Number of patients with treatment related adverse events, Potential treatment related adverse events after the first LI-ESWT session and during the 6 month follow up period will be reported, 28 weeks",,"Institute for the Study of Urological Diseases, Greece",,MALE,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",10672/2018,2018-08-28,2021-01-15,2021-04-16,2018-08-22,,2022-05-05,"G.Gennimatas Hospital, Thessaloniki, 54621, Greece",
NCT01468519,Exploratory CSII Trial on Erectile Dysfunction in T2DM Patients,https://clinicaltrials.gov/study/NCT01468519,ECSIITED,COMPLETED,NO,"Diabetes Mellitus, Type 2|Erectile Dysfunction",DRUG: Insulin|DRUG: Insulin,"Change in total International Index of Erectile Function (IIEF) score from baseline to six months, IIEF quetionnaire is a standardised and validated 15-item self-evaluation scale that provides pre-post treatment clinic evaluations of erectile function, orgasmic function, sexual desire, satisfaction in sexual intercourse and general satisfaction, baseline and six months","Global assessment question on erectile function, Global assessment question (GAQ), ""Has the treatment you have been having improved your erections? (yes/no)."", baseline and 6 months",,Jothydev's Diabetes and Research Centre,,MALE,"ADULT, OLDER_ADULT",PHASE4,20,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,JDC/Pump/020/2011,2012-01,2014-09,2014-11,2011-11-09,,2014-12-11,"Jothydev's Diabetes & Research Center, Thiruvananthapuram, Kerala, 695032, India",
NCT00284960,The Incidence and Treatment of Insulin Resistance Among Men With Erectile Dysfunction,https://clinicaltrials.gov/study/NCT00284960,,COMPLETED,NO,Erectile Dysfunction|Metabolic Syndrome|Insulin Resistance,,,,,Milton S. Hershey Medical Center,,MALE,"ADULT, OLDER_ADULT",,30,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,18805|NIH: K24 H001476,2005-06,,2007-03,2006-02-01,,2017-08-03,"Hershey Med Center, Hershey, Pennsylvania, 17033, United States",
NCT03823014,Use of an External Erectile Device in Transgender Man Following Phalloplasty,https://clinicaltrials.gov/study/NCT03823014,ProstHEsis,COMPLETED,NO,Transsexualism|Surgery|Sex Behavior|Erectile Dysfunction,DEVICE: Elator,"Change in Quality of Sexual Experience Scale, Brief measure of quality of most recent sexual experience, Baseline and at study completion (~1.5 months)|Change in Relationship Satisfaction Subscale, Measure of overall relationship satisfaction with romantic partner, Baseline and at study completion (~1.5 months)|Erectile Dysfunction Inventory of Treatment Satisfaction (EDITS), Validated measure of satisfaction with erectile dysfunction treatment, The intervention period of 4 weeks, assessed at study completion","Qualitative Device Feedback, Interview with men and their partners about the experience of using the device (optional), The intervention period of 4 weeks, assessed at study completion",,Boston Children's Hospital,,ALL,ADULT,NA,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,IRB-P00029965,2019-07-01,2022-07-01,2022-07-01,2019-01-30,,2022-07-21,"Participation in this study is from participants home., Boston, Massachusetts, 02115, United States",
NCT04050020,Platelet-rich Plasma (PRP) Injection for Treatment of Erectile Function,https://clinicaltrials.gov/study/NCT04050020,,COMPLETED,NO,Erectile Dysfunction Due to Arterial Insufficiency,BIOLOGICAL: Platelet-Rich Plasma (PRP)|BIOLOGICAL: Normal saline injection,"The % of patients in each group who attain Minimal Clinically Important Difference (MCID) in International Index of Erectile Function -Erectile Function (IIEF-EF) domain from baseline to 24 weeks after final treatment., MCID is defined according to baseline ED severity as:Improvement by 5 or more in the EF domain score of the IIEF for patients with moderate ED at baseline and by 2 or more in the EF domain score of the IIEF for patients with moderate ED at baseline, at 24 weeks follow up visit","The % of patients in each group who attain MCID in IIEF-EF domain from baseline to 12 weeks after final treatment., MCID is defined according to baseline ED severity as:Improvement by 5 or more in the EF domain score of the IIEF for patients with moderate ED at baseline and by 2 or more in the EF domain score of the IIEF for patients with moderate ED at baseline, at 12 weeks follow up visit|The % of patients in each group who attain MCID in IIEF-EF domain from baseline to 4 weeks after final treatment., MCID is defined according to baseline ED severity as:Improvement by 5 or more in the EF domain score of the IIEF for patients with moderate ED at baseline and by 2 or more in the EF domain score of the IIEF for patients with moderate ED at baseline, at 4 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change of the IIEF-ED score from baseline to 4 weeks after final treatment., EF domain of the IIEF questionnaire will be completed. IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction)., baseline and 4 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change of the IIEF-ED score from baseline to 12 weeks after final treatment., EF domain of the IIEF questionnaire will be completed.IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction), baseline and 12 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change of the IIEF-ED score from baseline to 24 weeks after final treatment., EF domain of the IIEF questionnaire will be completed.IIEF-EF consists of items 1,2,3,4,5,15 of the IIEF questionnaire.According to the score of the iIEF-EF there are five categories of erectile function: 1-10 (Severe Erectile Dysfunction), 11-16(Moderate dysfunction), 17-21(Mild to moderate dysfunction), 22-25(Mild dysfunction), 26-30 (No dysfunction), baseline and 24 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change in Sexual Encounter Profile Question 3 (SEP3) score from baseline to 4 weeks after final treatment., The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported, baseline and 4 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change in Sexual Encounter Profile Question 3 (SEP3) score from baseline to 12 weeks after final treatment., The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported, baseline and 12 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the change in Sexual Encounter Profile Question 3 (SEP3) score from baseline to 24 weeks after final treatment., The percent of subjects who answer ''YES'' in question 3 of SEP questionnaire will be reported, baseline and 24 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in Erectile Dysfunction Inventory of Treatment Satisfaction (EDITS) questionnaire score, EDITS is an 11-item validated questionnaire assessing treatment satisfaction. The 11 items in the EDITS questionnaire are combined into an index score by computing the mean of the 11 item scores and multiplying this value by 25. This results in an EDITS index score with a range of 0 (extremely low treatment satisfaction) to 100 (extremely high treatment satisfaction) for an individual patient., 4,12, 24 weeks follow up visit|The difference between the PRP group (2 sessions of PRP) and the placebo group in the the Pain Visual Analogue Scale (VAS) after each injection treatment session, It will be assessed by the pain VAS, right after each LIST session. Pain VAS is a unidimensional measure of pain intensity . It is a continuous scale comprised of a horizontal (HVAS) or vertical (VVAS) line, usually 10 centimeters (100 mm) in length, anchored by 2 verbal descriptors, one for each symptom extreme. For pain intensity, the scale is most commonly anchored by ""no pain"" (score of 0) and ""pain as bad as it could be"" or ""worst imaginable pain"" (score of 100 \[100-mm scale\]. To avoid clustering of scores around a preferred numeric value, numbers or verbal descriptors at intermediate points are not recommended. The following cut points on the pain VAS have been recommended: no pain (0-4 mm), mild pain (5-44 mm), moderate pain (45-74 mm), and severe pain (75- 100 mm, at week 0 and 4|Number of patients with treatment related adverse events, Potential treatment related adverse events after the first PRP injection session and during the 3 month follow up period will be reported, 28 weeks",,"Institute for the Study of Urological Diseases, Greece",European Society for Sexual Medicine,MALE,"ADULT, OLDER_ADULT",PHASE2|PHASE3,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",65-08/10/18,2019-09-02,2020-03-26,2020-09-24,2019-08-08,,2020-10-20,"G.Gennimatas Hospital, Thessaloniki, 54621, Greece",
NCT05147779,"Safety of Cultured Allogeneic Adult Umbilical Cord Stem Cells for Peyronie's Disease, ED, and Interstitial Cystitis",https://clinicaltrials.gov/study/NCT05147779,,RECRUITING,NO,Erectile Dysfunction|Peyronie's Disease|Interstitial Cystitis,BIOLOGICAL: AlloRx,"Safety (adverse events), Clinical monitoring of possible adverse events or complications, Four year follow-up",,,The Foundation for Orthopaedics and Regenerative Medicine,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ATG-1-MSC-015,2021-09-12,2025-12,2025-12,2021-12-07,,2022-10-27,"Medical Surgical Associates Center, St. John's, Antigua and Barbuda",
NCT01049750,Prevalence and Risk Factors of Erectile Dysfunction in Type 2 Diabetic Patients,https://clinicaltrials.gov/study/NCT01049750,,COMPLETED,NO,Type 2 Diabetic Patients|Erectile Dysfunction,OTHER: type 2 diabetic patients,"Prevalence of erectile dysfunction, Baseline (time 0); 3 months; 6 months|Description of erectile disfunction markers, Baseline (time 0); 3 months; 6 months|Evaluation of diabetic neuropathy in patients with erectile dysfunction, Baseline (time 0); 3 months; 6 months","Metalloproteinases 2 and 9, Baseline (time 0); 3 months; 6 months|Insulin-sensitivity index (HOMA index), Baseline (time 0); 3 months; 6 months|Glycemic control, Baseline (time 0); 3 months; 6 months",,University of Pavia,,MALE,"ADULT, OLDER_ADULT",,220,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,20090001127|P-20090002836,2009-06,2014-07,2014-07,2010-01-14,,2015-03-17,"IRCCS Policlinico San Matteo, Pavia, 27100, Italy",
NCT06200987,Penile Vibratory Stimulation in the Prevention of Sexual Dysfunction and Urinary Incontinence After Radical Prostatectomy,https://clinicaltrials.gov/study/NCT06200987,,RECRUITING,NO,Erectile Dysfunction Following Radical Prostatectomy|Incontinence,DEVICE: Penile vibrator,"Erectile function, The erectile function compared to controls measured by IIEF-EF, 10 months","ICIQ-UI-SF: The International Consultation on Incontinence Questionnaire - Urinary Incontinence - short form, Difference in ICIQ-SF score between the two groups after 3, 6 and 10 months. The score is from 0-21. The higher the score the more incontinent. A score of 0 is no urinary incontinence., 10 months|IIEF-EF score (The International Index of Erectile Function - Erectile Function), Difference in IIEF-EF score between the two groups after 3, 6 and 10 months. The minimum score is 0 and the maximum score is 30. The higher the score the better erectile function., 10 months|Diaper weighing test, Difference in 24 hour diaper weighing test between the two groups after 3, 6 and 10 months, 10 months|IIEF-EF (The International Index of Erectile Function - Erectile Function) over 25, The percentage of patients who gain a post-operative spontaneous IIEF-EF score of at least 25. The minimum score is 0 and the maximum score is 30. The higher the score the better erectile function., 10 months|EHS (Erection Hardness Scale), The percentage of patients who gain a post-operative spontaneous EHS of at least 3. The scale is from 0-4. 0 is no erection, the higher the score the better erection., 10 months|Neglected sexual side effects, The presence of orgasm disturbances, penile shortening and urinary incontinence in relation to sexual activity., 10 months",,Herlev and Gentofte Hospital,,MALE,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,ProVibrate,2024-02-01,2026-03,2026-10,2024-01-11,,2024-03-12,"Herlev and Gentofte Hospital, Herlev, 2730, Denmark",
NCT06397612,Efficacy of Low-dose Percutaneous Electrical Stimulation in Patients With Erectile Dysfunction.,https://clinicaltrials.gov/study/NCT06397612,Low-NEEP,ACTIVE_NOT_RECRUITING,NO,Pudendal Nerve Injury|Erectile Dysfunction|Electric Stimulation,OTHER: Low Dose,"International Index of Erectile Function (IIEF-EF), It is an index that assesses erectile function in a purely subjective way. It is the most recognized and used, and consists of six questions in which the frequency and firmness of the erection, the capacity of penetration, the capacity and frequency of maintenance and the confidence in the erection are evaluated. According to the questionnaire, dysfunction is classified as: no ED (26-30 points), mild (22-25 points), mild to moderate (17-21 points), moderate (11-16 points) and very strong (6-10 points). A score equal to or greater than 4 points will be considered a significant change. Measurement pre, one week after the intervention, one month after the intervention, three months after the intervention., 4 months|Erection Hardness Scale (EHS), The following will be considered significant changes men who improved by more than 3 points what in the initial phase was below a score of 2 points. The questionnaire score depends on the rating of erection hardness according to the following parameters: 0 (penis does not enlarge); 1 (penis is larger, but not hard); 2 (penis is hard but not hard enough for penetration); 3 (penis is hard enough to penetrate, but not completely hard); and 4 (penis is completely hard and rigid). Measurement pre, one week after the intervention, one month after the intervention, three months after the intervention., 4 months|Premature Ejaculation Diagnostic Tool (PEDT), Helps identify patients who may be suffering from premature ejaculation. Measurement pre, one week after the intervention, one month after the intervention, three months after the intervention., 4 months|Quality of Life Scale, It is used to subjectively assess the patient's opinion of his or her quality of life, based on 4 main aspects: physical, psychological, social and environmental health.Measurement pre, one week after the intervention, one month after the intervention, three months after the intervention. The scale is measured by 26 items, divided into 4 dimensions. Each dimension is independent. The higher the score, the higher the patient's quality of life., 4 months|Self-Esteem And Relationship Questionnaire (Sear), A questionnaire used for research and/or clinical practice use on self-esteem, in this case for patients with erectile dysfunction. Measurement pre, one week after the intervention, one month after the intervention, three months after the intervention. The scale is measured from 0 to 100 points, with 0 being the worst score and 100 being the best., 4 months",,,Camilo Jose Cela University,,MALE,"ADULT, OLDER_ADULT",NA,24,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,Low-NEEP,2023-12-01,2024-09-15,2025-01-15,2024-05-03,,2024-05-13,"LYX Instituto de Urología, Madrid, 28006, Spain",
